server_side.search_comment: 	2013-12-14 03:01:07.171525	Start search_comment process!
server_side.search_comment: 	2013-12-14 03:01:07.172335	Searching for new comments
server_side.search_comment: 	2013-12-14 03:01:07.191645	--Current app_index:1, app_id: com.doraemon.doraemonRepairShop. Searching comments
server_side.search_comment: 	2013-12-14 03:02:06.467893	Number of searched comments:767
server_side.search_comment: 	2013-12-14 03:02:06.473497	1	is new, preparing to insert. No of comments:	767
server_side.search_comment: 	2013-12-14 03:02:09.279445	Insert successfully! 767 comments
server_side.search_comment: 	2013-12-14 03:02:09.282683	--Current app_index:2, app_id: com.gau.go.touchhelperex.theme.captainbot. Searching comments
server_side.search_comment: 	2013-12-14 03:02:22.332497	Number of searched comments:29
server_side.search_comment: 	2013-12-14 03:02:22.338923	2	is new, preparing to insert. No of comments:	29
server_side.search_comment: 	2013-12-14 03:02:22.646084	Insert successfully! 29 comments
server_side.search_comment: 	2013-12-14 03:02:22.650778	Current app_index:3, app_id: com.ytdsearch.player. App is died!
server_side.search_comment: 	2013-12-14 03:02:22.654308	--Current app_index:4, app_id: com.libiitech.libiihospital. Searching comments
server_side.search_comment: 	2013-12-14 03:02:36.831610	Number of searched comments:262
server_side.search_comment: 	2013-12-14 03:02:36.837080	4	is new, preparing to insert. No of comments:	262
server_side.search_comment: 	2013-12-14 03:02:39.329024	Insert successfully! 262 comments
server_side.search_comment: 	2013-12-14 03:02:39.332414	--Current app_index:5, app_id: com.ubisoft.rayman.fiestarun. Searching comments
server_side.search_comment: 	2013-12-14 03:02:53.721867	Number of searched comments:299
server_side.search_comment: 	2013-12-14 03:02:53.724499	5	is new, preparing to insert. No of comments:	299
server_side.search_comment: 	2013-12-14 03:02:56.637137	Insert successfully! 299 comments
server_side.search_comment: 	2013-12-14 03:02:56.643251	Current app_index:6, app_id: com.ksmith.apps.paint.lite. App is died!
server_side.search_comment: 	2013-12-14 03:02:56.647081	--Current app_index:7, app_id: com.gameloft.android.ANMP.GloftTBHM. Searching comments
server_side.search_comment: 	2013-12-14 03:03:57.389868	Number of searched comments:1140
server_side.search_comment: 	2013-12-14 03:03:57.394031	7	is new, preparing to insert. No of comments:	1140
server_side.search_comment: 	2013-12-14 03:04:12.711154	Insert successfully! 1140 comments
server_side.search_comment: 	2013-12-14 03:04:12.718886	Current app_index:8, app_id: com.bakes.chucknorrisfacts. App is died!
server_side.search_comment: 	2013-12-14 03:04:12.719850	Finish inserting comments
server_side.search_comment: 	*************Summarize!**********************
server_side.search_comment: 	No of apps in total:	8
server_side.search_comment: 	No of searched comments in total:	2497
server_side.search_comment: 	No of N_comment_inserted_total:	2497
server_side.search_comment: 	No of N_comment_updated_total:	0
server_side.search_comment: 	No of new comments of new apps	2497
server_side.search_comment: 	No of new comments of old apps	0
server_side.search_comment: 	Start process at:	2013-12-14 03:01:07.172304
server_side.search_comment: 	End process at:	2013-12-14 03:04:12.725873
server_side.search_comment: 	Total time:	0:03:05.558646
server_side.search_comment: 	*************END*****************************
